author,species,model_id,development_type,expression
Beacham and Murray 1990,sockeye,2,hatch,1 /exp(6.727 - log(x + 2.394))
Beacham and Murray 1990,sockeye,4,hatch,1/exp(8.734 + (-1.589*log(x + 7.067)))
Beacham and Murray 1990,sockeye,5,hatch,1/exp(9.848 + (-1.583*log(x + 6.834)) + (-0.208*log(S)))
Beacham and Murray 1990,sockeye,7,hatch,1/exp(5.379 + (-0.076*log(x)) + (-0.185*(log(x)^2)))
Beacham and Murray 1990,sockeye,2,emerge,1 / exp(7.227 - log(x + 2.56))
Beacham and Murray 1990,sockeye,4,emerge,1/exp(7.647 + (-1.134*log(x + 3.514)))
Beacham and Murray 1990,sockeye,5,emerge,1/exp(9.404 + (-1.169*log(x + 3.833)) + (-0.289*log(S)))
Beacham and Murray 1990,sockeye,7,emerge,1/exp(5.97 + (-0.276*log(x)) + (-0.121*(log(x)^2)))
Beacham and Murray 1990,pink odd,2,hatch,1 / exp(6.663 - log(x + 2.557))
Beacham and Murray 1990,pink odd,4,hatch,1/exp(7.962 + (-1.382*log(x + 5.942)))
Beacham and Murray 1990,pink odd,5,hatch,1/exp(10.746 + (-1.409*log(x + 6.070)) + (-0.483*log(S)))
Beacham and Murray 1990,pink odd,7,hatch,1/exp(5.153 + (0.006*log(x)) + (-0.194*(log(x)^2)))
Beacham and Murray 1990,pink odd,2,emerge,1 / exp(7.190 - log(x + 2.663))
Beacham and Murray 1990,pink odd,4,emerge,1/exp(6.223 + (-0.693*log(x - 0.153)))
Beacham and Murray 1990,pink odd,5,emerge,1/exp(7.243 + (-0.682*log(x - 0.239)) + (-0.186*log(S)))
Beacham and Murray 1990,pink odd,7,emerge,1/exp(6.335 + (-0.768*log(x)) + (0.015*(log(x)^2)))
Beacham and Murray 1990,pink even,2,hatch,1 / exp(6.749 - log(x + 2.910))
Beacham and Murray 1990,pink even,4,hatch,1/exp(6.375 + (-0.885*log(x + 1.850)))
Beacham and Murray 1990,pink even,5,hatch,1/exp(5.037 + (-0.837*log(x + 1.444)) + (0.215*log(S)))
Beacham and Murray 1990,pink even,7,hatch,1/exp(5.507 + (-0.397*log(x)) + (-0.076*(log(x)^2)))
Beacham and Murray 1990,pink even,2,emerge,1 / exp(7.339 - log(x + 3.755))
Beacham and Murray 1990,pink even,4,emerge,1/exp(7.231 + (-0.967*log(x + 3.446 )))
Beacham and Murray 1990,pink even,5,emerge,1/exp(8.074 + (-0.979*log(x +3.580)) + (-0.145*log(S)))
Beacham and Murray 1990,pink even,7,emerge,1/exp(5.795 + (-0.212*log(x)) + (-0.111*(log(x)^2)))
Beacham and Murray 1990,chum,2,hatch,1 / exp(6.431 - log(x + 1.079))
Beacham and Murray 1990,chum,4,hatch,1/exp(7.049 + (-1.209*log(x + 2.407)))
Beacham and Murray 1990,chum,5,hatch,1/exp(7.978 + (-1.272*log(x + 2.898)) + (-0.127*log(S)))
Beacham and Murray 1990,chum,7,hatch,1/exp(5.600 + (-0.404*log(x)) + (-0.125*(log(x)^2)))
Beacham and Murray 1990,chum,2,emerge,1 / exp(6.982 - log(x + 1.447))
Beacham and Murray 1990,chum,4,emerge,1/exp(6.307 + (-0.764*log(x + 0.039 )))
Beacham and Murray 1990,chum,5,emerge,1/exp(8.377 + (-0.851*log(x +0.657)) + (-0.318*log(S)))
Beacham and Murray 1990,chum,7,emerge,1/exp(6.341 + (-0.793*log(x)) + (0.007*(log(x)^2)))
Beacham and Murray 1990,chinook,2,hatch,1 / exp(6.283 - log(x + 0.125))
Beacham and Murray 1990,chinook,4,hatch,1/exp(7.192 + (-1.292*log(x + 2.056)))
Beacham and Murray 1990,chinook,5,hatch,1/exp(7.726 + (-1.320*log(x + 2.252)) + (-0.078*log(S)))
Beacham and Murray 1990,chinook,7,hatch,1/exp(5.829 + (-0.536*log(x)) + (-0.116*(log(x)^2)))
Beacham and Murray 1990,chinook,2,emerge,1 / exp(6.872 - log(x + 0.332))
Beacham and Murray 1990,chinook,4,emerge,1/exp(10.404 + (-2.043*log(x + 7.575 )))
Beacham and Murray 1990,chinook,5,emerge,1/exp(10.319 + (-1.994*log(x +7.195)) + (-0.003*log(S)))
Beacham and Murray 1990,chinook,7,emerge,1/exp(5.901 + (-0.016*log(x)) + (-0.249*(log(x)^2)))
Beacham and Murray 1990,coho,2,hatch,1 / exp(6.240 - log(x + 1.045))
Beacham and Murray 1990,coho,4,hatch,1/exp(7.889 + (-1.536*log(x + 4.085)))
Beacham and Murray 1990,coho,5,hatch,1/exp(7.427 + (-1.533*log(x + 4.062)) + (0.078*log(S)))
Beacham and Murray 1990,coho,7,hatch,1/exp(5.378 + (-0.250*log(x)) + (-0.184*(log(x)^2)))
Beacham and Murray 1990,coho,2,emerge,1 / exp(6.812 - log(x + 1.643))
Beacham and Murray 1990,coho,4,emerge,1/exp(7.018 + (-1.069*log(x + 2.062 )))
Beacham and Murray 1990,coho,5,emerge,1/exp(7.599 + (-1.073*log(x +2.092)) + (-0.098*log(S)))
Beacham and Murray 1990,coho,7,emerge,1/exp(5.842 + (-0.394*log(x)) + (-0.109*(log(x)^2)))
Sparks et al. 2017,sockeye,AK,hatch,1 /exp(6.796 - log(x + 1.917))
Austin et al. 2019,bull trout,MM,hatch,1/exp(5.086 - (x * 0.131))
Austin et al. 2019,bull trout,MM,emerge,1/exp(5.590 - (x  * 0.126))
